あ
あーけーど アーケード
こもんじょ 古文書
こりつむえん 孤立無援
ごりむちゅう 五里霧中
ごりやく ご利益
ゴリラ
コルク栓
ゴルフ場
コレクション
コレステロール
ごろあわせ 語呂あわせ
ころしや 殺し屋
コロッケ
こんいんとどけ 婚姻届
ごんぎつね
コンクリート
コンタクトレンズ
こんちゅう 昆虫
こんてな コンテナ
コンドル
こんにゃく
コンビーフ
コンビニ
コンピュータ
こんぶ
コンペ
こんぺいとう
コンボ
こんよく 混浴
サーカス
サーチライト
サービス業
サーフィン
サーモグラフ
サイ
さいきん 細菌
サイクリング
さいけっせい 再結成
ざいこ 在庫
ざいこいっそうせーる 在庫一掃セール
さいこうきゅう 最高級
さいこうそくど 最高速度
さいごのひとは 最後の一葉
サイコパス
サイコロ
さいしゅうかい 最終回
さいしゅうび 最終日
さいしょうこうばいすう 最小公倍数
さいせんばこ さい銭箱
さいだいち 最大値
ざいたくきんむ 在宅勤務
さいていきおん 最低気温
さいのうのめ 才能の芽
さいばん 裁判
さいふ 財布
さいぼうかく 細胞核
さいみんじゅつ 催眠術
さいやすね 最安値
さいるいがす 催涙ガス
サインカーブ
サウナ
さかあがり さか上がり
さかみち 坂道
サギ
さくしか 作詞家
さくら 桜
さくらぜんせん 桜前線
さくらふぶき 桜吹雪
さくらもち 桜餅
さくらんぼ
ザコキャラ
サザエ
ささくれ
さざ波
さしみ 刺身
サスペンダー
さすまた
ざぜん 座禅
さそり
さつえいかい 撮影会
さつえいきんし 撮影禁止
さっきょく 作曲
ざっきょびる 雑居ビル
サックス
さつじんこうせん 殺人光線
さつじんじけん 殺人事件
ざっそう 雑草
さっちゅうざい 殺虫剤
さつまいも
さといも 里芋
さとう 砂糖
ざとういち 座頭市
さどがしま 佐渡島
さとり 悟り
サドル
サバ
サバイバルゲーム
さばく 砂漠
サバンナ
サビ
さびしまぎれ 淋しまぎれ
サブカルチャー
サブリミナル
サブ担当
サメ
さゆうかくにん 左右確認
さゆうはんてん 左右反転
さようなら
ざらざら
サラダ油
サラブレッド
さらまわし 皿まわし
さるかにがっせん 猿蟹合戦
さるぐつわ 猿ぐつわ
サルスベリ
ざるそば
さるでもわかる サルでもわかる
さるまわし 猿回し
サロメ
さわやか3組
さんかいせん 三回戦
さんかくかんすう 三角関数
さんかくじょうぎ 三角定規
さんがくちたい 山岳地帯
さんがつ 三月
さんかひ 参加費
ざんぎょう 残業
さんぎょうかくめい 産業革命
さんぎょうはいきぶつ 産業廃棄物
さんきんこうたい 参勤交代
サングラス
ざんげ 懺悔
さんこうぶんけん 参考文献
さんごくし 三国志
さんこのれい 三顧の礼
サンゴ礁
サンショウウオ
さんずのかわ 三途の川
さんそ 酸素
ざんぞう 残像
さんぞうほうし 三蔵法師
さんそぼんべ 酸素ボンベ
サンダル
さんだんとび 三段跳び
さんだんろんぽう 三段論法
サンドイッチ
ざんぱい 惨敗
ざんぱん 残飯
さんはんきかん 三半規管
さんびきのこぶた 3匹のこぶた
さんびゃくろくじゅうごにち 365日
さんびゃくろくじゅうど 360度
さんへいほうのていり 三平方の定理
さんぽすすんでにほさがる 三歩進んで二歩下がる
サンマ
さんもんのとく 三文の徳
し 死
しーえむ CM
しいくがかり 飼育係
しーげんご C言語
じーせんじょうのありあ G線上のアリア
シーソー
シーソーゲーム
しいたけ
シーチキン
しーでぃーろむ CD-ROM
シートベルト
ジーパン
しーぴーゆー CPU
シェイクスピア
じぇいりーぐ Jリーグ
ジェットコースター
しおあじ 塩味
しおづけ 塩漬け
しおのこうしん 塩の行進
ジオラマ
しか 鹿
しかい 司会
しがいきょくばん 市外局番
しがいせん 紫外線
しかえし 仕返し
しかざん 死火山
しかせんべい 鹿せんべい
しかつもんだい 死活問題
じかはつでん 自家発電
じかんさこうげき 時間差攻撃
しきい
しきしゃ 指揮者
しきそくぜくう 色即是空
しきもう 色盲
しきりなおし 仕切り直し
じくうのゆがみ 時空のゆがみ
ジグザグ走行
じぐそーぱずる ジグソーパズル
しくはっく 四苦八苦
しけい 死刑
しけんかん 試験管
じげんばくだん 時限爆弾
しこうじっけん 思考実験
しこうてい 始皇帝
じごく 地獄
じこくあわせ 時刻あわせ
じごくえず 地獄絵図
じごくでほとけ 地獄で仏
じこくひょう 時刻表
じこしょうかい 自己紹介
しこみづえ 仕込み杖
ししてしかばねひろうものなし 死して屍拾うものなし
じしゃく 磁石
ししゃのしょ 死者の書
ししゃも
ししょ 司書
ししょう 師匠
ししょうせつ 私小説
しじん 詩人
じしん 地震
しし座
しずかのうみ 静かの海
じせいのく 辞世の句
しぜんとうた 自然淘汰
しぜんはっか 自然発火
しそ
じぞう 地蔵
した 舌
じだいおくれ 時代遅れ
じだいげき 時代劇
したぎ 下着
したり顔
しちがつ 七月
しちならべ 七並べ
しちなんはっく 七難八苦
しちにんのさむらい 七人の侍
しちふくじん 七福神
しちや 質屋
シチュー
しちょう 市長
しつけ
じっけんせいぶつ 実験生物
しっこうにん 執行人
しっこうゆうよ 執行猶予
しっそうせんげん 失踪宣言
しつど 湿度
しっぱい 失敗
しっぽ
しつりょうほぞんのほうそく 質量保存の法則
じてんしゃ 自転車
じどうおうとう 自動応答
じどうしゃ 自動車
じどうせいぎょ 自動制御
じどうはんばいき 自動販売機
しなぎれ 品切れ
しにものぐるい 死に物狂い
しのびわらい 忍び笑い
しばいぬ 柴犬
じはく 自白
じばくぼたん 自爆ボタン
ジパング
しはんせいき 四半世紀
じばんちんか 地盤沈下
じひ 慈悲
じびいんこうか 耳鼻咽喉科
しびん
じふがぞう GIF画像
しぶき
ジプシー
しぶしぶ
じぶんかって 自分勝手
シベリア
しぼう 脂肪
じほう 時報
しぼうすいていじこく 死亡推定時刻
しほうとりひき 司法取引
しぼり染め
シマウマ
しまぐに 島国
しまこうさく 島耕作
しまった
しまながし 島流し
しまねけん 島根県
しまるぼたん 閉まるボタン
しま模様
シミュレーション
しみんけん 市民権
ジム
しめいかん 使命感
しめきり
しめじ
しめなわ しめ縄
じめん 地面
しめんそか 四面楚歌
しも 霜
しものく 下の句
しもん 指紋
じゃーじ ジャージ
シャープペンシル
シャイニング
しゃかいてきそんしつ 社会的損失
じゃがいも
しゃかんきょり 車間距離
じゃきがん 邪気眼
しゃくさんせい 弱酸性
しやくしょ 市役所
しゃくそん 釈尊
しゃくほう 釈放
しゃげき 射撃
じゃじゃ馬ならし
しゃしん 写真
しゃっきん 借金
しゃっきんとり 借金取り
シャッターチャンス
シャットダウン
シャバ
じゃぱん JAPAN
しゃぶしゃぶ
しゃほん 写本
しゃぼん玉
しゃみせん 三味線
しゃもじ
しゃりんのさいはつめい 車輪の再発明
しゃりんのした 車輪の下
シャワー
ジャンクフード
ジャングル
ジャングルジム
じゃんけん
シャンデリア
シャンパン
シャンプー
しゅうかいきどう 周回軌道
しゅうがくりょこう 修学旅行
じゅうがつ 十月
しゅうかんし 週刊誌
しゅうきゅうふつかせい 週休二日制
じゅうきょふほうしんにゅう 住居不法侵入
シュークリーム
じゅうこうぎょう 重工業
しゅうごうばしょ 集合場所
しゅうさい 秀才
じゅうさんがつ 十三月
じゅうじか 十字架
じゆうじかん 自由時間
じゅうじぐん 十字軍
ジュージュー
しゅうしょくかつどう 就職活動
しゅうしんじかん 就寝時間
しゅうじんふく 囚人服
しゅうせいえき 修正液
しゅうせきかいろ 集積回路
じゅうたい 渋滞
じゅうたん
じゅうだん 銃弾
しゅうちゃくえき 終着駅
しゅうちゅうごうう 集中豪雨
しゅうちゅうせん 集中線
じゅうていおん 重低音
シューティングゲーム
じゅうでん 充電
じゅうどう 柔道
じゅうにがつ 十二月
しゅうのう 収納
じゆうのめがみ 自由の女神
じゅうばこのすみ 重箱の隅
じゅうばん 重版
シュウマイ
じゅうゆ 重油
じゅうよくごうをせいす 柔よく剛を制す
じゆうらっか 自由落下
じゅうりょうあげ 重量挙げ
じゅうりょく 重力
シュールレアリズム
じゅえき 樹液
じゅかい 樹海
しゅぎょうそう 修行僧
じゅぎょうりょう 授業料
しゅくじつ 祝日
じゅけんべんきょう 受験勉強
しゅじゅうかんけい 主従関係
しゅしょく 主食
じゅずつなぎ 数珠つなぎ
じゅっかい 十戒
しゅっせうお 出世魚
しゅっちょうこうぎ 出張講義
しゅつどひん 出土品
しゅっぱつてん 出発点
しゅにまじわればあかくなる 朱に交われば赤くなる
シュノーケル
しゅびはんい 守備範囲
しゅみ 趣味
じゅもん 呪文
しゅりけん 手裏剣
じゅわき 受話器
じゅんかつゆ 潤滑油
じゅんしんむく 純真無垢
ジョイスティック
しょうえん 荘園
しょうが
しょうがいがくしゅう 生涯学習
しょうがいぶつきょうそう 障害物競走
しょうかえき 消化液
しょうかき 消火器
しょうがくきん 奨学金
しょうがつ 正月
しょうがっこう 小学校
しょうきち 小吉
しょうぎばん 将棋盤
しょうぎょう 商業
しょうぎょうこうこう 商業高校
じょうきょうしょうこ 状況証拠
しょうきんくび 賞金首
しょうこ 証拠
しょうご 正午
しょうこいんめつ 証拠隠滅
しょうこん 商魂
じょうしょうきりゅう 上昇気流
じょうじょうしゃくりょう 情状酌量
しょうじょまんが 少女マンガ
しょうすうてん 小数点
しょうせつか 小説家
しょうたいじょう 招待状
じょうだん 冗談
しょうだんしけん 昇段試験
しょうちゅう 焼酎
しょうどくえき 消毒液
しょうにか 小児科
しょうにゅうどう 鍾乳洞
しょうねんいん 少年院
しょうひぜい 消費税
しょうひでんりょく 消費電力
じょうほうげん 情報源
しょうぼうしゃ 消防車
じょうほうしょり 情報処理
しょうめい 証明
しょうめつ 消滅
しょうめんしょうとつ 正面衝突
じょうやく 条約
しょうゆ
しようりょう 使用料
しょうりんじけんぽう 少林寺拳法
しょうろうびょうし 生老病死
じょおう 女王
ジョーカー
ショート
ショートケーキ
しょきか 初期化
しょきはいち 初期配置
じょきょく 序曲
しょくえんすい 食塩水
しょくざい 食材
しょくじかい 食事会
しょくたく 食卓
しょくちゅうしょくぶつ 食虫植物
しょくちゅうどく 食中毒
しょくどうしゃ 食堂車
しょくぶつ 植物
しょくもつせんい 食物繊維
しょくよくおうせい 食欲旺盛
しょこ 書庫
しょしかんてつ 初志貫徹
じょしこうせい 女子高生
しょたいめん 初対面
ジョッキ
ショットガン
しょどう 書道
ショベルカー
しょめい 署名
じょめいしょぶん 除名処分
じょゆう 女優
ジライヤ
しらが 白髪
しらみ
しらゆきひめ 白雪姫
しらんぷり 知らんぷり
しりあがり 尻上がり
シリアルナンバー
シリウス
しりきれとんぼ 尻切れトンボ
しりとり
しりょくけんさ 視力検査
シルクスクリーン
シルクハット
シルクロード
しるけんり 知る権利
しるはいっときのはじ 知るは一時の恥
しれいかん 司令官
しれん 試練
しろ 
しろあり 白アリ
しろいめ 白い目
シロクマ
しろくろつける 白黒つける
シロップ
しろばい 白バイ
しろはた 白旗
しわくちゃ
しんかい 深海
しんかいぎょ 深海魚
しんがくこう 進学校
しんかろん 進化論
しんかんせん 新幹線
しんきいってん 心機一転
しんきょく 神曲
しんきろう 蜃気楼
しんきろく 新記録
しんくう 真空
ジンクス
しんけいしつ 神経質
しんけいすいじゃく 神経衰弱
じんこうえいせい 人工衛星
しんごうき 信号機
しんこうしゅうきょう 新興宗教
じんこうちのう 人工知能
じんこうばくはつ 人口爆発
しんこきゅう 深呼吸
じんじいどう 人事異動
しんしつ 寝室
しんじゅ 真珠
しんしゅつきぼつ 神出鬼没
しんじんきょういく 新人教育
しんしんそうしつ 心神喪失
しんじんるい 新人類
じんせいげーむ 人生ゲーム
しんせいろーまていこく 神聖ローマ帝国
しんせんぐみ 新選組
しんぞう 心臓
じんたいじっけん 人体実験
しんたいそう 新体操
じんちくむがい 人畜無害
しんちょう 身長
しんでもしにきれない 死んでも死にきれない
シンデレラ
しんでんず 心電図
しんてんち 新天地
ジントニック
じんとりげーむ 陣取りゲーム
しんにゅうせいかんげいかい 新入生歓迎会
シンバル
しんはんにん 真犯人
しんぶん 新聞
しんぶんきしゃ 新聞記者
しんぺんちょうさ 身辺調査
じんみゃく 人脈
しんや 深夜
しんようとりひき 信用取引
しんらばんしょう 森羅万象
しんりがく 心理学
しんりんよく 森林浴
しんれんさい 新連載
しんわ 神話
す 酢
スイートルーム
すいえい 水泳
スイカ
すいがら 吸い殻
すいぎん 水銀
すいさい 水彩
すいじょうき 水蒸気
すいせい 水星
すいちょく 垂直
すいていねんぽう 推定年俸
すいてき 水滴
すいどうかん 水道管
すいどうすい 水道水
すいとんのじゅつ 水とんの術
すいぼくが 水墨画
すいようび 水曜日
すいりしょうせつ 推理小説
すうがく 数学
ずうずうしい
スーパーコンピュータ
スーパーマーケット
スーパーマン
すえひろがり 末広がり
スカート
スカーフ
ずがいこつ 頭蓋骨
スカイダイビング
スカスカ
スキあり
スキー
スキップ
すきま風
スキャナー
スキャンダル
スギ花粉
すき焼き
スクイズバント
スクーター
スクラップ
スクラム
スクランブル
スクリーンショット
スクロール
スケープゴート
スケッチブック
スケルトン
スコップ
すごろく
すこんぶ 酢こんぶ
スサノオ
すし 寿司
スズメ
スズメバチ
すずらん
スタートダッシュ
スター選手
スタジオ
スタッドレスタイヤ
スタンプラリー
スチームパンク
ずつう 頭痛
ずつき 頭突き
すっきり
ずっこける
スティックタイプ
ステーキ
すてご 捨て子
すてみ 捨て身
ステルス戦闘機
ステンドグラス
ステンレス
ストーブ
ストッキング
ストラップ
ストリップ
ストレートフラッシュ
スナイパー
すなどけい 砂時計
すなのわくせい 砂の惑星
すなば 砂場
すなぼこり 砂ぼこり
スニーカー
スネアドラム
ずのうは 頭脳派
スパーク
スパゲティ
スパムメール
すばる
スピーカー
スピーチ
スピードスケート
スピリチュアル
スフィンクス
スプーン
スプーン曲げ
スプライト
スプレー缶
スペイン
スポーツドリンク
スポーツマン
スポットライト
ズボン
スポンジ
スマートフォン
スマホ依存症
すみび 炭火
すもう 相撲
すもぐり 素潜り
スライム
スランプ
スリーカード
すりーせぶん 777
すりーでぃー 3D
すりこぎ
スリッパ
すり傷
するどいしつもん 鋭い質問
すれ違い
スローモーション
スロットマシン
せいいたいしょうぐん 征夷大将軍
せいぎかん 正義感
せいぎのてっけん 正義の鉄拳
せいきぶんぷ 正規分布
せいきまつ 世紀末
せいきゅうしょ 請求書
せいけいしゅじゅつ 整形手術
せいこうほうしゅう 成功報酬
せいごひょう 正誤表
せいざ 星座
せいさんかっけい 正三角形
せいさんかり 青酸カリ
せいしょ 聖書
せいじんしき 成人式
せいしんぶんせき 精神分析
せいすう 整数
せいせいどうそう 正々堂々
せいぞんしゃ 生存者
せいたいにんしょう 生体認証
ぜいちく 筮竹
せいちじゅんれい 聖地巡礼
せいてつじょ 製鉄所
せいとてちょう 生徒手帳
せいひょうき 製氷機
せいふかんこうぶつ 政府刊行物
せいぶげき 西部劇
せいほうけい 正方形
せいめい 生命
せいめいはんだん 姓名判断
せいめいはんのう 生命反応
せいめいほけん 生命保険
せいゆう 声優
せいりせいとん 整理整頓
せいりゃくけっこん 政略結婚
せいりゅうとう 青龍刀
ゼウス
セーブデータ
セールスマン
せかいいち 世界一
せかいたいせん 世界大戦
せかいちず 世界地図
セカンドオピニオン
せき 咳
せきがいせん 赤外線
せきがえ 席替え
せきせつ 積雪
せきどう 赤道
せきどめ 咳止め
せきばん 石板
せきぶん 積分
せきゆ 石油
せきゆおう 石油王
せきをしてもひとり 咳をしても一人
セクハラ
せだいこうたい 世代交代
せっきじだい 石器時代
ゼッケン
せっけん 石けん
せっこうぞう 石膏像
ぜったいあんせい 絶対安静
ぜったいれいど 絶対零度
せつだんめん 切断面
せっとうだん 窃盗団
せっとくりょく 説得力
ぜっとのひげき Zの悲劇
せっぷく 切腹
せとないかい 瀬戸内海
せなか 背中
ぜにがたへいじ 銭形平次
せばんごう 背番号
セピア色
せびょうし 背表紙
せびろ 背広
せぼね 背骨
せみ
ゼラチン
ゼリー
セリフ
セルフサービス
ゼロ
セロテープ
セロリ
せんかん 戦艦
せんきょけん 選挙権
せんぎり 千切り
せんこうだん 閃光弾
せんこうはなび 線香花火
センサー
ぜんざい
せんしゃ 戦車
せんしゅうらく 千秋楽
せんじゅかんのん 千手観音
せんしゅこうたい 選手交代
せんしゅせんせい 選手宣誓
せんすいかん 潜水艦
ぜんせ 前世
せんせいこうげき 先制攻撃
せんせいじゅつ 占星術
せんぞ 先祖
ぜんだいみもん 前代未聞
せんたくき 洗濯機
せんたくし 選択肢
せんたんきょうふしょう 先端恐怖症
ぜんちぜんのう 全知全能
せんとう 銭湯
せんどうおおくしてふねやまにのぼる 船頭多くして船山に登る
せんとうぐるーぷ 先頭グループ
せんとくん
せんにん 仙人
せんぬき 栓抜き
せんべい
ぜんぽうこうえんふん 前方後円墳
せんぼんのっく 1000本ノック
せんまいどおり 千枚通し
せんもんようご 専門用語
せんやいちやものがたり 千夜一夜物語
せんようき 専用機
せんりがん 千里眼
せんりょうばこ 千両箱
そうあたり 総当たり
そうおん 騒音
そうがんきょう 双眼鏡
ぞうきん 雑巾
そうさぱねる 操作パネル
そうじき 掃除機
ぞうしょ 蔵書
ぞうすい 雑炊
そうせいき 創世記
そうぞうじょうのせいぶつ 想像上の生物
そうちょう 早朝
ぞうとうよう 贈答用
そうめん
そうやみさき 宗谷岬
ソウルメイト
ソーセージ
ソーダ
そくせいさいばい 促成栽培
そくどけい 速度計
ぞくぶつこんじょう 俗物根性
ぞくへん 続編
ソクラテス
そしきのろんり 組織の論理
そして誰もいなくなった
そしな 粗品
そすう 素数
そっきじゅつ 速記術
そっきょうえんそう 即興演奏
そつぎょうきねん 卒業記念
そつぎょうしき 卒業式
そっくりさん
そで
そとば 卒塔婆
その他の危険
そふ 祖父
ソファー
ソフトウェア
ソフトバンク
ソプラノ
そぼ 祖母
そぼろ
そもそも論
そよ風
そら 空
そり
そろばん
ソロ演奏
そんがいばいしょう 損害賠償
そんごくう 孫悟空
そんざい 存在
そんざいとじかん 存在と時間
そんざいのたえられないかるさ 存在の耐えられない軽さ
そんちょう 村長
ゾンビ
ダークホース
ダークマター
ダーツ
ターバン
ターン制
たい 鯛
たいあたり 体当たり
だいいちはっけんしゃ 第一発見者
だいえいはくぶつかん 大英博物館
ダイオウイカ
だいがくいん 大学院
たいがどらま 大河ドラマ
たいかのかいしん 大化の改新
たいきおせん 大気汚染
たいきけん 大気圏
だいきち 大吉
だいきょう 大凶
たいきょくけん 太極拳
たいくつ 退屈
たいけんにゅうがく 体験入学
だいこうかいじだい 大航海時代
だいこうぶつ 大好物
だいこくばしら 大黒柱
だいこん 大根
だいこんおろし 大根おろし
だいこんやくしゃ 大根役者
たいさくほんぶ 対策本部
だいさんげん 大三元
たいしゅう 体臭
たいじゅうけい 体重計
たいしょくねがい 退職願
だいじん 大臣
だいず 大豆
だいせいこう 大成功
たいせいよう 大西洋
たいせき 体積
だいだらぼっち
だいたんふてき 大胆不敵
だいどころ 台所
タイトル画面
ダイナマイト
たいふう 台風
たいふういっか 台風一過
たいふうのめ 台風の目
だいふく 大福
だいふごう 大富豪
だいぶつ 大仏
タイプライター
たいへいよう 太平洋
たいほ 逮捕
たいほう 大砲
だいほん 台本
タイムトライアル
タイムマシン
タイヤ
ダイヤモンド
ダイヤモンドダスト
ダイヤル
タイヤ交換
タイヤ跡
たいよう 太陽
たいようけい 太陽系
たいようこう 太陽光
たいようこうはつでん 太陽光発電
たいりくいどうせつ 大陸移動説
タイル
だいろっかん 第六感
たい焼き
たうえ 田植え
ダウジング
ダウンロード
だえん 楕円
ダカーポ
だがし 駄菓子
だがっき 打楽器
たかとび 高飛び
たかねのはな 高嶺の花
たかのつめ 鷹の爪
たかみのけんぶつ 高みの見物
たからくじ 宝くじ
たき 滝
タキシード
だきょうあん 妥協案
たき火
たくあん
タクシー
たくはいびん 宅配便
たけ 竹
たけとりのおきな 竹取の翁
タケノコ
たけひご 竹ひご
たけやぶやけた 竹やぶ焼けた
たけやり 竹やり
タコ
たこあげ 凧あげ
たこあしはいせん たこ足配線
たこいと たこ糸
たこ焼き
ださんてき 打算的
たしざん 足し算
たしなむ程度
だし巻き
たすうけつ 多数決
たすけぶね 助け船
たぜいにぶぜい 多勢に無勢
だそく 蛇足
たたき売り
ただしがき 但し書き
たたみ 畳
たちあがり 立ち上がり
たちいりきんし 立入禁止
たちがれ 立ち枯れ
たちのみ 立ち飲み
ダチョウ
だっきゅう 脱臼
タックル
だつごく 脱獄
だっしゅうざい 脱臭剤
だっしゅつげーむ 脱出ゲーム
たっちのさ タッチの差
たっちぱねる タッチパネル
たつとりあとをにごさず 立つ鳥跡を濁さず
タツノオトシゴ
たつまき 竜巻
たて 盾
だてんし 堕天使
たとえばなし 例え話
たなおろし 棚おろし
たに 谷
たね
たねあかし 種明かし
タバコ
タバスコ
タピオカ
たびがらす 旅ガラス
たびのはじはかきすて 旅の恥はかき捨て
タブー
だぶるおーせぶん 007
ダブルクリック
ダブルブッキング
ダブル役満
タブレット
ダフ屋
たべほうだい 食べ放題
たまいれ 玉入れ
たまぎれ 弾切れ
たまごとじ 卵とじ
たましい 魂
だまし討ち
タマネギ
たまのり 玉乗り
たまむしいろ 玉虫色
ダム
ため撃ち
たる 樽
タルト
だるま
だるまさんが転んだ
タロット
たわし
たんか 短歌
タンカー
だんがん 弾丸
ダンクシュート
タンクトップ
たんけん 短剣
たんけんか 探検家
だんご 団子
ダンゴムシ
ダンサー
たんさいぼう 単細胞
たんざく 短冊
たんさんでんち 単三電池
たんじゅんろうどう 単純労働
たんじょうせき 誕生石
たんじょうび 誕生日
ダンジョン
たんしんふにん 単身赴任
たんす
ダンスホール
だんだんばたけ 段々畑
だんどうけいさん 弾道計算
だんぼーる 段ボール
だんまく 弾幕
チアリーダー
チーズケーキ
チェス
チェッカーフラッグ
チェックシート
ちか 地下
ちかしつ 地下室
ちかていこく 地下帝国
ちかてつ 地下鉄
ちかみち 近道
ちからこぶ 力こぶ
ちきゅう 地球
ちきゅうぎ 地球儀
ちくわ
チケット
ちこく 遅刻
ちしきよく 知識欲
ちず 地図
ちずきごう 地図記号
ちち 父
チチカカ湖
ちちゅうかい 地中海
ちどうせつ 地動説
ちのうしすう 知能指数
ちまつり 血祭り
ちめいしょう 致命傷
チャーハン
チャイルドシート
ちゃいろ 茶色
ちゃかい 茶会
チャット
チャップリン
ちゃらんぽらん
チャレンジャー
ちゃわんむし 茶碗蒸し
ちゃんこ鍋
チャンス到来
チャンネル
チャンピオンベルト
チューインガム
ちゅうおうぶんりたい 中央分離帯
ちゅうがっこう 中学校
ちゅうかりょうり 中華料理
ちゅうかんてすと 中間テスト
ちゅうごく 中国
ちゅうこひん 中古品
ちゅうじえん 中耳炎
ちゅうしゃき 注射器
ちゅうしゃじょう 駐車場
ちゅうせい 中世
ちゅうせんかい 抽選会
ちゅうとはんぱ 中途半端
ちゅうにびょう 中二病
ちゅうぼす 中ボス
チューリップ
ちょうえき 懲役
ちょうごうきん 超合金
ちょうこだいぶんめい 超古代文明
ちょうじょうけっせん 頂上決戦
ちょうしょく 朝食
ちょうしんせいばくはつ 超新星爆発
ちょうせんしゃ 挑戦者
ちょうせんにんじん 朝鮮人参
ちょうちょ
ちょうつがい
ちょうでんどう 超電導
ちょうねくたい 蝶ネクタイ
ちょうひもりろん 超ひも理論
ちょうほうけい 長方形
ちょうみりょう 調味料
ちょくし 直視
ちょくせん 直線
チョコレート
ちょさくけん 著作権
ちょっかい
ちょっかく 直角
ちょっかくさんかっけい 直角三角形
ちよのふじ 千代の富士
ちょんまげ
ちりとり ちり取り
ちりもつもればやまとなる 塵も積もれば山となる
ちり紙交換
チンチロリン
ちんつうざい 鎮痛剤
ちんでんぶつ 沈殿物
ちんはこっかなり 朕は国家なり
チンパンジー
ちんぷれー 珍プレー
ちんぼつせん 沈没船
ちんもく 沈黙
ついせきしゃ 追跡者
ついらくじこ 墜落事故
つうこんのいちげき 痛恨の一撃
つうしんきょういく 通信教育
つうしんせいげん 通信制限
つうしんたいせん 通信対戦
つうしんはんばい 通信販売
つうようぐち 通用口
つかいすて 使い捨て
つき 月
つきあかり 月あかり
つぎき 接ぎ木
つきのうらがわ 月の裏側
ツキノワグマ
つくし
つけまつげ
つじぎり 辻斬り
ツチノコ
ツチブタ
つづきはうぇぶで 続きはWEBで
つなひき 綱引き
つなわたり 綱渡り
つば
つばき 椿
つばさ 翼
ツバメ
つぶぞろい 粒ぞろい
つまようじ 爪楊枝
つま先
つみれ
つむじ風
つめあわせ 詰め合わせ
つめきり 爪切り
つめしょうぎ 詰将棋
つめのあか 爪の垢
つゆ 梅雨
つりえさ 釣り餌
つりがね 釣鐘
つりざお 釣り竿
つりぼり 釣り堀
つり革
つり橋
つるかめ算
つるぎのまい 剣の舞い
つるつる
つるのおんがえし 鶴の恩返し
つるのひとこえ 鶴のひと声
ツルハシ
つれづれぐさ 徒然草
つん読
でぃーえぬえー DNA
てぃーしゃつ Tシャツ
ていおうがく 帝王学
ていおうせっかい 帝王切開
ていきあつ 低気圧
ていきけん 定期券
ていきゅうび 定休日
ていさつき 偵察機
ていしゅかんぱく 亭主関白
ていたい 停滞
ティッシュペーパー
ティッシュ配り
デイトレード
ディナー
ていねんたいしょく 定年退職
ていぼう 堤防
ティラミス
データベース
テーピング
てがかり 手がかり
てがみ 手紙
デカメロン
テキーラ
てきぜんとうぼう 敵前逃亡
てきちゅうりつ 的中率
できるかな
てぎれきん 手切れ金
でぐち 出口
てこのげんり てこの原理
デザイナー
てざわり 手触り
でし 弟子
デジタル
てじな 手品
てじょう 手錠
デスマッチ
てそう 手相
でたらめ
てつあれい 鉄アレイ
てつがくしゃ 哲学者
てっきゅう 鉄球
てっきんこんくりーと 鉄筋コンクリート
てっこうせき 鉄鉱石
てっしゅう 撤収
てつじょうもう 鉄条網
てつじんせいじ 哲人政治
てったいせん 撤退戦
デッドボール
てっぺん
てつや 徹夜
テトリス
テナガザル
てなずける 手なずける
てのひら 手のひら
てばさき 手羽先
デバッグ
てびょうし 手拍子
でまえ 出前
てまきずし 手巻き寿司
でむかえ 出迎え
てもあしもでない 手も足も出ない
テラフォーミング
テレパシー
テレビ
テレポーテーション
てんがいこどく 天涯孤独
てんかごめん 天下御免
てんき 天気
でんきいす 電気イス
でんきかいろ 電気回路
でんきていこう 電気抵抗
でんきぽっと 電気ポット
でんきゅう 電球
てんきよほう 天気予報
でんきりょうきん 電気料金
てんぐ 天狗
でんげんこんせんと 電源コンセント
でんげんらんぷ 電源ランプ
でんごんげーむ 伝言ゲーム
てんし 天使
てんじ 点字
でんしとうひょう 電子投票
でんしめーる 電子メール
でんしゃ 電車
てんじょう 天井
でんせつ 伝説
てんせん 点線
でんせん 電線
てんたいぼうえんきょう 天体望遠鏡
でんたく 電卓
でんち 電池
でんちゅう 電柱
てんちゅうさつ 天中殺
てんちょう 転調
てんてき 点滴
テント
てんどうせつ 天動説
テントウムシ
てんどん 天丼
てんのうせい 天王星
テンパイ
てんばい 転売
でんぱどけい 電波時計
てんびん
てんぷふぁいる 添付ファイル
てんぷら 天ぷら
テンポ
でんぽう 電報
てんらんかい 展覧会
でんりゅう 電流
でんわき 電話機
でんわばんごう 電話番号
どアップ
どあのっく ドアノック
ドアノブ
といし 砥石
ドイツ
トイレ
トイレットペーパー
トイレの花子さん
とうえい 投影
とうかこうかん 等価交換
どうかせん 導火線
どうがはいしん 動画配信
トウガラシ
とうかんかく 等間隔
とうぎゅう 闘牛
とうきょうさばく 東京砂漠
とうきょうたわー 東京タワー
とうけいがく 統計学
どうこう 瞳孔
とうこうせん 等高線
とうざいなんぼく 東西南北
とうじ 冬至
どうじじょうえい 同時上映
とうしょう 凍傷
どうしんえん 同心円
とうせんはっぴょう 当選発表
とうそう 逃走
とうちょうき 盗聴器
どうぶつ 動物
どうぶつえん 動物園
どうぶつじっけん 動物実験
